room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
12137180,13678806,Private room,Songpa-dong,0,,2,1,28,1,37.503991,127.112104
11803264,62600069,Private room,Sangil-dong,0,,2,1,27,1,37.545486,127.160269
11244546,58431108,Private room,Gwangjang-dong,0,,2,1,41,1,37.545627,127.105159
12161223,30946669,Private room,Gwangjang-dong,3,4.5,2,1,42,1,37.54899,127.110183
452105,2246293,Private room,Sincheon-dong,8,5,2,1,31,3,37.519128,127.10244
12177919,44959674,Private room,Bangi-dong,0,,2,1,75,1,37.507278,127.122843
11367915,59567532,Private room,Amsa-dong,0,,1,1,24,1,37.550968,127.124888
6577231,8669093,Private room,Yeoksam-dong,19,5,2,1,50,2,37.496785,127.034019
13626820,41722109,Private room,Nonhyeon-dong,13,4.5,2,1,29,,37.507973,127.025436
6718395,19766136,Private room,Yangjae-dong,14,5,2,1,21,2,37.471736,127.047423
7185916,1292884,Private room,Yeoksam-dong,1,,2,1,39,3,37.505568,127.029073
14266915,70618734,Private room,Cheongdam-dong,1,,2,1,36,1,37.522563,127.047827
7620525,37007548,Private room,Yeoksam-dong,3,4,1,1,28,3,37.49341,127.042154
7056131,37007548,Private room,Yeoksam-dong,6,3.5,1,1,28,3,37.49385,127.041234
7621094,37007548,Private room,Yeoksam-dong,5,4,1,1,28,3,37.492919,127.040463
12924898,67715347,Private room,Seokchon-dong,3,5,1,1,36,1,37.507888,127.103595
4676856,19719489,Private room,Jamsil-dong,12,5,3,1,28,1,37.506719,127.099398
11327425,58952042,Private room,Jayang-dong,33,5,2,1,37,1,37.537895,127.081506
9616694,13467937,Private room,Jayang-dong,6,4.5,2,1,33,2,37.531264,127.088237
15091263,85864232,Private room,Gaepo-dong,0,,2,1,21,1,37.479212,127.0505
15234352,9387054,Private room,Daechi-dong,0,,2,1,31,1,37.503766,127.056647
4254242,21859458,Private room,Nonhyeon-dong,39,5,2,1,46,2,37.518967,127.027841
10194543,37861298,Private room,Yeoksam-dong,1,,1,1,28,10,37.498457,127.040289
15141063,96018829,Private room,Gaepo-dong,1,,2,1,19,1,37.483237,127.069501
14230488,51620551,Private room,Daechi-dong,5,5,2,1,34,2,37.502689,127.053801
12504950,67715347,Private room,Seokchon-dong,17,4.5,2,1,25,1,37.507637,127.104931
8393932,26875669,Private room,Jagok-dong,44,5,4,1,57,1,37.473845,127.09698
6886918,19224656,Private room,Yeoksam-dong,14,4.5,2,1,29,4,37.507265,127.038298
8746387,6671276,Private room,Nonhyeon-dong,33,4.5,2,1,35,2,37.508275,127.033251
13933847,23702133,Private room,Jamsil-dong,0,,2,1,199,1,37.510219,127.083701
10885768,44145605,Private room,Jamsil-dong,8,5,3,1,42,1,37.511503,127.093789
14260774,70618734,Private room,Cheongdam-dong,2,,2,1,26,1,37.521896,127.048674
15180043,75731216,Private room,Yeoksam-dong,1,,2,1,19,1,37.505057,127.043916
12639540,2717583,Private room,Cheongdam-dong,3,4.5,2,1,41,1,37.521887,127.046782
13857901,81872342,Private room,Jamsil-dong,0,,2,1,33,1,37.504525,127.084994
11047995,24210377,Private room,Samseong-dong,27,5,2,1,31,1,37.517864,127.064769
12631742,9732014,Private room,Samseong-dong,6,5,2,1,35,1,37.507129,127.056766
3334775,16837627,Private room,Seocho-dong,31,5,1,1,28,1,37.487431,127.031874
14500117,58815009,Private room,Yeoksam-dong,4,5,4,1,39,1,37.502165,127.035536
12161527,10644017,Private room,Garak-dong,1,,2,1,28,2,37.49821,127.124357
11149716,57971087,Private room,Songpa-dong,4,3.5,1,1,24,1,37.501815,127.112134
12033876,62482698,Private room,Yeoksam-dong,5,5,1,1,46,2,37.497535,127.0322
11096933,52654373,Private room,Bangi-dong,10,5,1,1,30,1,37.512307,127.124774
4414833,22915182,Private room,Seokchon-dong,26,5,2,1,30,2,37.50725,127.104576
12751335,69356449,Private room,Munjeong-dong,6,4.5,1,1,15,2,37.487051,127.130145
15277419,97215825,Private room,Yeoksam-dong,0,,1,1,19,3,37.499049,127.035535
15276207,97206922,Private room,Yeoksam-dong,0,,1,1,24,3,37.497638,127.037667
14798228,26243817,Private room,Daechi-dong,1,,1,1,28,1,37.50479,127.051679
